timestamp,battery_voltage,humidity,rssi,snr,temperature,gateway_id,losant_id
2024-11-08T07:03:21.975Z,3.618,58,-101,2,31.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T08:03:21.313Z,3.624,57.9,-103,2.2,26.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T08:43:20.896Z,3.624,57.8,-100,8.8,23.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T09:23:20.421Z,3.624,57.9,-103,8.5,21.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T09:43:20.150Z,3.624,58,-103,7,20.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T10:03:19.954Z,3.624,58.1,-101,8.8,20.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T10:43:19.464Z,3.618,58.4,-103,8,20,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T11:23:19.039Z,3.618,58.3,-101,8.5,20.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T12:03:18.589Z,3.624,58.4,-102,9,20.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T12:23:18.378Z,3.624,58.5,-100,8.2,20.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T12:43:18.201Z,3.624,58.6,-102,6.2,20.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T13:03:17.904Z,3.624,58.6,-103,7.5,20.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T13:23:17.711Z,3.624,58.8,-107,7.2,20.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T13:43:17.440Z,3.624,58.7,-101,7.2,20.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T14:23:17.598Z,3.624,58.6,-99,8.2,20.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T15:03:16.596Z,3.624,59.5,-101,6.8,18.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T15:23:16.312Z,3.624,59.5,-101,8.2,18.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T15:43:16.121Z,3.624,59.7,-102,8.2,18.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T16:03:15.845Z,3.624,59.7,-103,8.5,18.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T16:43:15.416Z,3.624,60,-102,9,18.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T17:03:15.167Z,3.624,60,-103,7.2,18.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T17:23:14.960Z,3.624,60.1,-102,6,18.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T17:43:14.747Z,3.624,60.1,-103,8.5,18.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-08T18:03:14.511Z,3.624,60.2,-107,8.8,18,eui-00800000a000018f,65d2bb6e91885514259b6bf8
